product_id,name,brand,category,subcategory,price,description,skill_level,use_case,in_stock
P001,Fender Player Stratocaster,Fender,Guitar,Electric Guitar,849.99,"Classic strat tones, smooth neck, versatile for any genre",beginner-intermediate,live performance,true
P002,Gibson Les Paul Standard,Gibson,Guitar,Electric Guitar,2499.99,"Thick humbucker tone, mahogany body, sustain for days",intermediate-advanced,studio recording,true
P003,Martin D-28 Acoustic,Martin,Guitar,Acoustic Guitar,2999.99,"Legendary dreadnought, Sitka spruce top, studio-grade tone",intermediate-advanced,studio recording,true
P004,Yamaha FG800 Acoustic,Yamaha,Guitar,Acoustic Guitar,199.99,"Solid spruce top, great starter acoustic, excellent value",beginner,practice,true
P005,PRS SE Custom 24,PRS,Guitar,Electric Guitar,779.99,"Versatile humbuckers, beautiful maple top, wide-fat neck",intermediate,live performance,true
P006,Fender American Professional II Telecaster,Fender,Guitar,Electric Guitar,1549.99,"Nashville tone, V-mod pickups, superior build quality",intermediate-advanced,live performance,true
P007,Gretsch G2622 Streamliner,Gretsch,Guitar,Electric Guitar,449.99,"Semi-hollow body, classic rock and jazz tones",intermediate,studio recording,true
P008,Epiphone Les Paul Standard,Epiphone,Guitar,Electric Guitar,449.99,"Affordable humbucker tones, great beginner upgrade",beginner-intermediate,practice,true
P101,Fender Rumble 40 Bass Amp,Fender,Amplifier,Bass Amp,229.99,"Portable 40W bass amp, contour switch, great for practice",beginner-intermediate,practice,true
P102,Marshall DSL40CR,Marshall,Amplifier,Guitar Amp,849.99,"40W tube combo, classic Marshall crunch, built-in reverb",intermediate-advanced,live performance,true
P103,Fender Blues Junior IV,Fender,Amplifier,Guitar Amp,699.99,"15W tube combo, chimey clean tones, spring reverb",intermediate,studio recording,true
P104,Boss Katana-50 MkII,Boss,Amplifier,Guitar Amp,299.99,"50W solid state, 5 amp characters, great fx built in",beginner-intermediate,practice,true
P105,Line 6 Helix LT,Line 6,Amplifier,Modeler,1199.99,"Pro-grade amp modeling, 128 presets, world-class effects",intermediate-advanced,live performance,true
P106,Vox AC15C1,Vox,Amplifier,Guitar Amp,699.99,"15W tube combo, EL84 power section, iconic chime",intermediate-advanced,studio recording,true
P201,Roland TD-17KVX Electronic Drum Kit,Roland,Drums,Electronic Kit,1499.99,"Mesh heads, 50 kits, quiet enough for apartment practice",beginner-intermediate,practice,true
P202,Pearl Export Series 5-Piece,Pearl,Drums,Acoustic Kit,999.99,"Full acoustic kit, poplar shells, hardware included",beginner-intermediate,live performance,true
P203,Zildjian A Custom 14 Hi-Hats,Zildjian,Drums,Cymbals,349.99,"Brilliant finish, crisp articulate sound, studio favorite",intermediate-advanced,studio recording,true
P204,DW Design Series Snare,DW,Drums,Snare,349.99,"Maple shell, die-cast hoops, wide tuning range",intermediate,live performance,true
P301,Native Instruments Komplete Kontrol S61,Native Instruments,Keys,MIDI Controller,699.99,"61-key semi-weighted, NKS integration, Light Guide",intermediate-advanced,studio recording,true
P302,Arturia KeyLab Essential 49,Arturia,Keys,MIDI Controller,199.99,"49 keys, DAW integration, great starter controller",beginner,home studio,true
P303,Nord Stage 4 Compact,Nord,Keys,Stage Piano,3999.99,"Professional stage piano, triple sensor waterfall keys",advanced,live performance,true
P304,Casio CT-S300 Portable Keyboard,Casio,Keys,Keyboard,49.99,"61 keys, 48 polyphony, battery powered, great beginner",beginner,practice,true
P401,Shure SM58 Vocal Microphone,Shure,Microphones,Dynamic Mic,99.99,"Industry standard vocal mic, rugged, live and studio use",beginner-advanced,live performance,true
